Date,Hour, Minute, Second, MicroSec,Name,x,y
2020-12-07,11,33,3,807453,Aurora Aerial,180.5,123.0
2020-12-07,11,33,3,835376,Aurora Aerial,175.5,118.5
2020-12-07,11,33,3,867290,Aurora Aerial,171.0,112.0
2020-12-07,11,33,3,982001,Aurora Aerial,159.5,100.0
2020-12-07,11,33,4,14913,Aurora Aerial,152.0,96.0
2020-12-07,11,33,4,41839,Aurora Aerial,146.5,93.0
2020-12-07,11,33,4,69801,Aurora Aerial,143.0,92.0
2020-12-07,11,33,4,95696,Aurora Aerial,139.0,93.0
2020-12-07,11,33,4,122623,Aurora Aerial,135.5,95.5
2020-12-07,11,33,4,150549,Aurora Aerial,134.5,97.5
2020-12-07,11,33,4,203409,Aurora Aerial,134.5,101.5
2020-12-07,11,33,4,315109,Aurora Aerial,139.0,104.0
2020-12-07,11,33,4,351069,Aurora Aerial,140.5,104.0
